[2024-11-19T05:20:24.074+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2017-08-01.pdf already exists in S3. Skipping upload.
[2024-11-19T05:20:24.154+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2017-05-01.pdf already exists in S3. Skipping upload.
[2024-11-19T05:20:24.241+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2017-04-01.pdf already exists in S3. Skipping upload.
[2024-11-19T05:20:24.323+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2017-03-01.pdf already exists in S3. Skipping upload.
[2024-11-19T05:20:24.416+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2017-02-01.pdf already exists in S3. Skipping upload.
[2024-11-19T05:20:24.500+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2017-01-01.pdf already exists in S3. Skipping upload.
[2024-11-19T05:20:24.501+0000] {python.py:240} INFO - Done. Returned value was: None
[2024-11-19T05:20:24.511+0000] {taskinstance.py:340} INFO - ::group::Post task execution logs
[2024-11-19T05:20:24.512+0000] {taskinstance.py:352} INFO - Marking task as SUCCESS. dag_id=ETL_financial_reports, task_id=fetch_financial_reports_task, run_id=manual__2024-11-19T05:20:13.031609+00:00, execution_date=20241119T052013, start_date=20241119T052015, end_date=20241119T052024
[2024-11-19T05:20:24.548+0000] {local_task_job_runner.py:266} INFO - Task exited with return code 0
[2024-11-19T05:20:24.572+0000] {taskinstance.py:3895} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2024-11-19T05:20:24.575+0000] {local_task_job_runner.py:245} INFO - ::endgroup::
