[2024-11-26T01:22:31.097+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2017-05-01.pdf already exists in S3. Skipping upload.
[2024-11-26T01:22:31.176+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2017-04-01.pdf already exists in S3. Skipping upload.
[2024-11-26T01:22:31.250+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2017-03-01.pdf already exists in S3. Skipping upload.
[2024-11-26T01:22:31.333+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2017-02-01.pdf already exists in S3. Skipping upload.
[2024-11-26T01:22:31.445+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2017-01-01.pdf already exists in S3. Skipping upload.
[2024-11-26T01:22:31.447+0000] {python.py:240} INFO - Done. Returned value was: None
[2024-11-26T01:22:31.460+0000] {taskinstance.py:340} INFO - ::group::Post task execution logs
[2024-11-26T01:22:31.460+0000] {taskinstance.py:352} INFO - Marking task as SUCCESS. dag_id=ETL_financial_reports, task_id=fetch_financial_reports_task, run_id=scheduled__2024-11-25T00:00:00+00:00, execution_date=20241125T000000, start_date=20241126T012223, end_date=20241126T012231
[2024-11-26T01:22:31.503+0000] {local_task_job_runner.py:266} INFO - Task exited with return code 0
[2024-11-26T01:22:31.536+0000] {taskinstance.py:3895} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2024-11-26T01:22:31.540+0000] {local_task_job_runner.py:245} INFO - ::endgroup::
