[2024-11-17T03:11:43.143+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2019-01-01.pdf already exists in S3. Skipping upload.
[2024-11-17T03:11:43.389+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2018-12-01.pdf already exists in S3. Skipping upload.
[2024-11-17T03:11:43.476+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2018-11-01.pdf already exists in S3. Skipping upload.
[2024-11-17T03:11:43.561+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2018-10-01.pdf already exists in S3. Skipping upload.
[2024-11-17T03:11:43.655+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2018-09-01.pdf already exists in S3. Skipping upload.
[2024-11-17T03:11:43.748+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2018-08-01.pdf already exists in S3. Skipping upload.
[2024-11-17T03:11:43.834+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2018-07-01.pdf already exists in S3. Skipping upload.
[2024-11-17T03:11:43.931+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2018-06-01.pdf already exists in S3. Skipping upload.
[2024-11-17T03:11:44.020+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2018-05-01.pdf already exists in S3. Skipping upload.
[2024-11-17T03:11:44.111+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2018-04-01.pdf already exists in S3. Skipping upload.
[2024-11-17T03:11:44.204+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2018-03-01.pdf already exists in S3. Skipping upload.
[2024-11-17T03:11:44.303+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2018-02-01.pdf already exists in S3. Skipping upload.
[2024-11-17T03:11:44.400+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2018-01-01.pdf already exists in S3. Skipping upload.
[2024-11-17T03:11:44.493+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2017-12-01.pdf already exists in S3. Skipping upload.
[2024-11-17T03:11:44.593+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2017-11-01.pdf already exists in S3. Skipping upload.
[2024-11-17T03:11:44.688+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2017-10-01.pdf already exists in S3. Skipping upload.
[2024-11-17T03:11:44.783+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2017-09-01.pdf already exists in S3. Skipping upload.
[2024-11-17T03:11:44.867+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2017-08-01.pdf already exists in S3. Skipping upload.
[2024-11-17T03:11:44.955+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2017-05-01.pdf already exists in S3. Skipping upload.
[2024-11-17T03:11:45.040+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2017-04-01.pdf already exists in S3. Skipping upload.
[2024-11-17T03:11:45.134+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2017-03-01.pdf already exists in S3. Skipping upload.
[2024-11-17T03:11:45.222+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2017-02-01.pdf already exists in S3. Skipping upload.
[2024-11-17T03:11:45.308+0000] {logging_mixin.py:190} INFO - File CDBG-DR-Financial-Report-2017-01-01.pdf already exists in S3. Skipping upload.
[2024-11-17T03:11:45.309+0000] {python.py:240} INFO - Done. Returned value was: None
[2024-11-17T03:11:45.326+0000] {taskinstance.py:340} INFO - ::group::Post task execution logs
[2024-11-17T03:11:45.327+0000] {taskinstance.py:352} INFO - Marking task as SUCCESS. dag_id=ETL_financial_reports, task_id=fetch_financial_reports_task, run_id=manual__2024-11-17T03:11:34.212537+00:00, execution_date=20241117T031134, start_date=20241117T031137, end_date=20241117T031145
[2024-11-17T03:11:45.372+0000] {local_task_job_runner.py:266} INFO - Task exited with return code 0
[2024-11-17T03:11:45.400+0000] {taskinstance.py:3895} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2024-11-17T03:11:45.407+0000] {local_task_job_runner.py:245} INFO - ::endgroup::
